"codigo_producto","nombre_producto","peso_manual","peso_calculado"
"PSBXXX004","PAP SABANA OFICIO PQ500HJS","1","1.2"
"PLAPEL010","PLASTILINA PELIKAN MX 180G NAR","1.5","1"
"GOEXXX110","GOMA EVA LISA TURQ 50X70CM","0.7","0.5"
"BOJPEL002","BOLIGRAFO JGO PELIKAN AL 821896 Y PLUMA JAZZ NOBLE ELEGANCE BLACK","0.5","1"
"PILDRC009","PILAS DURACELL AA BI6U","1.5","1"
"ETQPGF001","ETIQUETAS PEGAFAN NAR FLUOR 19X25MM BL102U","0.5","1"
"PLTHRL001","PALETA HERLITZ 8643033 ARTISTICA 235X2170MM","1.2","1"
"GLIPEL021","GLITER PELIKAN AR 051 020 219 AZUL ELECTRICO 60ML","1.5","1"
"TPLPEL008","TINT PLUMAF PELIKAN AL 4001 AZU 30ML","0.5","1"
"PINPTL029","PINCEL PENTEL ZBS5-20E N° 20 PELO CABRA REDONDO","0.5","1"
"PLAPEL009","PLASTILINA PELIKAN MX JGO4U 454G","1.2","1"
"LAPSCA003","LAPIZ SCALA 741 AZU CARPINTERO","1.5","1"
"BOLPTL094","BOLIGRAFO PENTEL BXC470 DCBP 4COLOR 1.0MM IZEE BARRIL AZUL","1.2","1"
"RESPTL007","RESALTADOR PENTEL S515 P ROS DELG","1.5","1"
"PCAPEL006","PAP CARBON PELIKAN AL 004 410 050 ULTRAFILM MAQ ESCRIBIR OF NEG","1.5","1"
"JUEART025","JUEGO ARTI TAC024-06 TOOL KIT HERRAMIENTAS X 6 U","0.7","1"
"BOLPIL008","BOLIGRAFO PILOT BP S ROS FINO","1.5","1"
"CUAABC011","CUADERNO ABC EMPAST OFICIO CUAD 5MM 100HJS","0.5","1"
"ETQPGF005","ETIQUETAS PEGAFAN NAR FLUOR 19X13MM BL500U","1.2","0.5"
"MFOPEL009","MASA FOAMY 50G NEG 06740117","1.5","1"
"MFOPEL014","MASA FOAMY 50G VIO 06740112","1.5","0.5"
"PLAPEL021","PLASTILINA PELIKAN MX 180G VIO","1.5","1"
"REGMAP002","REGLA MAPED 279010 027900 30CM FLEXIBLE","0.5","1"
"XACALB072","JUEGOS DE ESTIMULACION PARA BEBES DE 0 A 24 MESES","1","0.5"
"GOEXXX075","GOMA EVA LISA PLOMO 50X70CM","1.2","1"
"REGATS010","REGLA ARTESCO 15CM PLAST CRISTAL","1.2","1.5"
"LIEXXX002","LIENZO P. N. 25X35CM.PREPARADO M/MADERA","1.2","0.5"
"CNAFST009","CINTA ADHES FIVE STICK TORNASOL MOR 12MM X 2YDS","0.5","1"
"PNAACR006","PINTUR  ACRILEX 03240/504 PVA AMA LIMON 37ML T/ROSADO","1.5","1"
"REGXXX007","REGLA METALICA 30CM","1.5","1"
"PSSPTL004","PASTELES PENTEL PTS 15 JGO15U FABRICFUN","1","0.7"
"SOBLAP001","SOBRE LAPAP. BLA. T/OFICIO","0.5","1"
"GOMLYR009","GOMA BORRAR LYRA 2091467 MIGA DE PAN MOLDEABLE","0.7","1"
"MRJPTL037","MARCADOR PENTEL SES15C BRUSH SIGN JGO 6PCS D2XD3XC2XB2XEXE2X","1.5","0.5"
"LCLSTB029","LAPIC COLOR STABILO 1400 335 CARBOTHELLO MAGENTA","0.5","0.7"
"CNKPGF008","CINTA MASK PEGAFAN 500 ESC 1PULG X 25YDS","0.7","1"
"MCPPTL034","MICROPUNTA PENTEL BL107 BX ROJ 0.7MM ENERGELX RETRAC","0.7","1"
"PLUXXX011","PAP LUSTROSO ROJ 50X70CM","1.2","1"
"TAMATS007","TAMPO ARTESCO DACTILAR NEG","1.5","1"
"PCPHOB008","PAP CREPE HOBBY ROS 48X200CM","1.5","1"
"REGMAP007","REGLA MAPED 279315 30CM TWIST N FLEX DECOR","0.5","1"
"TAJIDL001","TAJADOR IDEAL METAL SIMPLE","1.5","1"
"CUALAP017","CUADERNO LAPAP TOP MUSICA","1.5","1"
"TTMATS001","TINT TAMPO ARTESCO NEG 30ML","0.5","1"
"NYLALL002","NYLON ALLIANCE 00813 EMBALAJE BURBUJA 30CM X 53M LARGO","1.5","1"
"FOLUSG003","FOLDER USIGN US LW 320G OFICIO PLAST","1.5","1"
"JUEXXX021","ROMPECABEZAS  18008 MAPA DE PIRATAS - 2000 PZS","0.7","1"
"PINPTL037","PINCEL PENTEL ZBS6-14E N° 14 PELO CABRA PLANO","1.2","1"
"PNLACR011","PINTUR TELA ACRILEX 503 CEL CORRIENTE","0.5","1.5"
"PORPTL049","PORTAMINA PENTEL AZ125R P E SHARP 0.5MM ROS","0.5","1"
"REGPIM001"," REGLA PRIMO 8252RG30 30CM PLASTICA ANTIREFLEX","0.5","1"
"PNAACR005","PINTUR  ACRILEX 03240/543 PVA AZU ULTRAMAR 37ML T/ROSADO","1.5","1"
"PCEXXX009","PAP CELOFAN LIL 76X102CM","1.2","1"
"PDUPGF001","PORTADIUREX PEGAFAN DIUREX 3/4X25YDS MANUAL","0.5","1"
"CLBGNR002","CLIP BIN GEN 51MM 2PULG CJ12PZ","0.7","1.5"
"MRDPEL012","MARCADOR PELIKAN MX MARKANA VER","1.2","1"
"GOEXXX087","GOMA EVA LISA ROSA 50X70CM","0.7","0.5"
"JUEART006","JUEGO ARTI TACJUEDI013 CARACOL GOMA EVA","1.5","1"
"FOLMDN010","FOLDER MADISON 7312 OFICIO PLAST AZUL MARINO","0.7","1"
"GOMMAP001","GOMA BORRAR MAPED 511320 SENOA","1.2","1"
"PSSPTL001","PASTELES PENTEL PHN 12 JGO12U","1.2","1"
"BOLPEL087","BOLIGRAFO PELIKAN AL 815017 JAZZ CLASSIC K35 AMARILLO","1.2","1"
"REGXXX010","REGLA METALICA 15CM","1.2","1"
"BOLBEI003","BOLIGRAFO BEIFA AA927 ROJ CJA 50U","1.2","1"
"LAPLYR044","LAPIZ LYRA 1110106 669 NEG 6B ART DESIGN","1.2","1"
"LCLSTB009","LAPIC COLOR STABILO 1400 430 CARBOTHELLO AZUL COBALTO","1.2","1"
"LCLSTB022","LAPIC COLOR STABILO 1400 722 CARBOTHELLO GRIS AZULADO 2","1.5","1"
"CNRDYM012","CINTA ROTUL DYMO 5201 06 AZUL 3/8PULG","0.5","1"
"FOLUSG002","FOLDER USIGN US LW 320 A4 PLAST","1.5","1.2"
"LCLLYR016","LAPIC COLOR LYRA 2001720 M72 REMBRANDT POLYCOLOR JGO72U CJA MET","1.5","1.2"
"FOLDEL043","FOLDER DELLO 0231.04.0025 AUTOS ALA OFICIO","1.5","1"
"FOLDEL091","FOLDER DELLO PLAST OFICIO 0254.T.0050 VERDE C. LIGA","0.5","1"
"ENGRAP010","ENGRAPADOR RAPID S50 CAP 50HJS PLAST NEG 24148401 5000543","0.7","1"
"XLIGIS002","LA PLUMA DE MIGUEL 10 EDC","0.5","1"
"XLNGIS006","LA MARCA DE LOS REYES","0.7","1"
"LRGESM005","LIBRO REGIS MW COMPRAS IVA","1.2","1"
"PREUSG002","PORTAREVIS USIGN US 9881 TRIC 4 PLAST","1.5","0.5"
"FOLMDN009","FOLDER MADISON 7309 OFICIO PLAST TURQUESA","1.2","1"
"MCPSTB123","MICROPUNTA STABILO 8815 1  POINT 88 JGO15U","1.2","1"
"BSAXXX015","BOLSA REGALO PARA BOTELLA","0.5","1"
"CLPISO003","CLIP METAL ISOFIT 50MM CJ100U","0.5","1"
"PCRUSG007","CORDON USIGN US 04D ROJ PARA CREDENCIAL","0.7","1"
"TAMLEY002","TAMPO LEYDEZ 182 AZUL","1.2","1"
"PORPTL047","PORTAMINA PENTEL AZ125R A E SHARP 0.5MM NEG","0.7","1"
"GOEXXX073","GOMA EVA LISA OFICIO NAR","0.5","1"
"JUEART029","JUEGO ARTI TACJUEDI016 STAMPING SELLOS X 9 PZS GOMA EVA","1.2","1"
"PMCART001","PAP MACHE ARTI TAC009-PM","1.5","1"
"PCPHOB011","PAP CREPE HOBBY NEG 48X200 CM","0.5","1"
"FICXXX006","FICHA CARTULINA COLOR 5X10CM PQ25U","1","1.5"
"MRJPTL040","MARCADOR PENTEL SES15C BRUSH SIGN JGO 5PCS PASTEL SXP3XP2XNXKX","0.5","1"
"PAAXXX012","PAP ARAÑA DOR 50X80CM","0.7","1"
"PLUXXX008","PAP LUSTROSO FUCSIA 50X70CM","0.5","1"
"ARCLEY053","ARCHIVADOR LEYDEZ PALANCA NAR PLAST","0.7","1"
"PSESWA016","PAP SEDA VER LIMON NO21 50X75CM","1.5","1"
"FOLDEL044","FOLDER DELLO 0231.05.0025 KIDS FUTBOL ALA OFICIO","0.5","0.7"
"MCPPIL050","MICROPUNTA PILOT BL SG 7 NEG 0.7MM SUPER GEL","0.7","1"
"CNKPGF005","CINTA MASK PEGAFAN 500 2PULG X 40YDS","0.5","1"
"LAPLYR118","LAPIZ LYRA 2057902 REMBRANDT CARBON EXTRA 2B","0.7","1"
"CLBLEY101","CLIP BIN LEYDEZ 15MM O 5/8 CJ12U","0.7","1"
"ETLMAP002","ESTUCHE P/LAPIZ MAPED  932212 TURBO COSMIC TEENS","1.2","1"
"PBOPBL002","PAP BOND PAPELBOL RECICLADO OFICIO 75GR PQ500HJS","1.5","1.2"
"CUAABC040","CUADERNO ABC ESP 1/2 OFICIO CUAD 5MM 100HJS STYLE","1.5","1"
"RESMAP003","RESALTADOR MAPED 742558 FLUO COLOR PASTEL  6COL","0.7","1"
"RBLXXX001","REPUESTO PARA BOLIGRAFO CON CADENA","1.5","1"
"SELTRO003","SELLO TRODAT 4911 PERSONAL PRINTY","1.2","1"
"ARAHRL002","ARANDELA HERLITZ  830273 PLAST BLANCO 240U","1.2","1"
"RESFBC002","RESALTADOR FABER CASTELL B VER TEXMARKER 49","0.7","1"
"FOLVIN017","FOLDER VINIFAN TAPA TRANSPARENTE OFICIO AZUL PASTEL C/FASTENER","1.2","1"
"PINCOD002","PINCEL CONDOR 456 NO 6 PELO CERDA","0.5","1"
"CARMAD022","CARTON GRIS MADEPA NO10 80X120CM","1.2","0.7"
"NYLXXX001","NYLON TRANSP 80CM X 100MT","1.2","1"
"ENGRAP040","ENGRAPADOR RAPID S30 CAP 30HJS PLAST AZU 24146212","1.2","1"
"PSESWA003","PAP SEDA 1301 ROJ SCARL R NO19 50X75CM","0.7","1"
"BOLPRK083","BOLIGRAFO PARKER 1953192 JOTTER PURPURA CLIP CROMADO","1.2","1"
"RESSTB004","RESALTADOR STABILO 70/33 VER BOSS GRUESO","1.2","0.5"
"PLUXXX004","PAP LUSTROSO AMA ORO 50X70CM","1.2","1"
"HTPXXX001","HJA TRAPPER NEGRO 3 PERF  PQ200HJS","0.7","1.2"
"CAVUSG003","CARTAP VISOR USIGN US 102PD 1PULG 2A TIPO D A4 PLAST BLA","0.7","1.2"
"CAEEPA031","CALENDARIO E.PAULINAS 2024 PLANIFICADOR T/CHEQ","0.5","1"
"GOEXXX104","GOMA EVA TOALLA ROJ 50X70CM","1.5","1"
"FGAART009","FIGURAS ADH ARTI TACF00014 MOTIVACIONALES X 57 PZS GOMA EVA","1.5","1.2"
"BOLPTL054","BOLIGRAFO PENTEL BX440 B ROJ 1.0MM FEEL IT TRIANG RETRAC","1.2","1"
"BLPBRW017","BLOCK POST BRW BA0702 NOTAS MULTIPLES","0.5","1"
"CALCAS017","CALCULADOR CASIO MX 12B 12DIG","0.5","1"
"CUAABC028","CUADERNO ABC ENGRAP CUAD 5MM 30HJS","0.5","1"
"LAPPEL003","LAPIZ PELIKAN MX INICIAL JUMBO TRIANG 2 HB NEG","1.2","1"
"XCACOQ005","CALIGRAFIA 5","1.5","1"
"BOLSCH006","BOLIGRAFO SCHNEIDER 152290 ESTUCHE 10  BOLIGRAFOS SLIDER EDGE XB","1.5","1"
"PLUXXX021","PAP LUSTROSO AZU PASTEL 50X70CM","1.5","1"
"MCPPEL031","MICROPUNTA PELIKAN CO 30013470 157 JGO24U","0.5","1"
"TAJLYR001","TAJADOR LYRA L7321660 DE MESA ","0.5","1"
"TABATS001","TABLERO ARTESCO CAMPO ACRIL CLIPBOARD","0.7","1"
"BOLPIL016","BOLIGRAFO PILOT BPGP 10R F L 0.7MM AZU SUPER GRIP CLIP PLAST","1.2","1"
"MCPWIL002","MICROPUNTA WILSON 716 ROJ ROLLER","0.7","1"
"PDOUSG001","PORTADOCUM USIGN US F406 PLAST BROCHE","1.2","1"
"CLBLEY005","CLIP BIN LEYDEZ 41MM O 1 5/8","0.7","1"
"PCRUSG005","CORDON USIGN US 04D AZUL PARA CREDENCIAL","0.7","1"
"MCPPTL080","MICROPUNTA PENTEL BL437R E CAF  0.7MM ENERGEL RETRACT","0.7","1"
"BSAXXX008","BOLSA DE REGALO GRANDE","0.5","1"
"MCPSTB034","MICROPUNTA STABILO 88 46 NEG 0.4MM POINT 88","0.7","1"
"TAMLEY003","TAMPO LEYDEZ 182 ROJO","0.7","1"
"PAPUSG002","PAPELERO USIGN US 6033 TRIPLE PLASTICO","0.5","1"
"XXELAR036","DICC ESCOLAR ELEMENTAL LAROUSSE","0.7","1"
"CALCAS019","CALCULADOR CASIO FX 350ES PLUS CIENTIFICA","0.5","1.5"
"FOLDEL084","FOLDER DELLO PLAST 1/2 OFICIO 0252.Q.0050 ROSA C. LIGA","1.5","1"
"LAPLYR082","LAPIZ LYRA 1111062 669 NEG 9B 2H ART DESIGN CAJA METAL 6U","1.2","1"
"MRJPEL012","MARCADOR JGO PELIKAN MX MARKATODO NORMAL JGO12U","0.5","1"
"XCIALB021","ECOLOGIA PARA CURIOSOS","0.5","1"
"CUAABC112","CUADERNO ABC ESP 1/2 OFICIO CUAD 5MM 100 HJS PLENO PASTEL","1.2","1"
"GOMPEL035","GOMA BORRAR PELIKAN MX PASTEL 35X30CM FCO 15U","1.5","1"
"LIBABC001","LIBRETA ABC ESP COLOR PUNT CARTON 15X12CM","1.2","1"
"LIBABC006","LIBRETA ABC ESP COLOR PUNT CARTON 15X12CM PQT 3 PCS ","0.5","1"
"REGATS002","REGLA ARTESCO 20CM PLAST CRISTAL","1.2","1"
"PCAMLC002","PAP CARBON MILCAR AZU OFICIO ECO WORLD","1.2","1"
"ETQPGF006","ETIQUETAS PEGAFAN AMA FLUOR 19X13MM BL500U","1","0.7"
"RESPEL053","RESALTADOR PELIKAN CO 041 900 600 MANZANA FLASH PASTEL GRUESO","1.5","1"
"ATMXXX040","ATM LIMPIAPIPAS","0.5","1"
"GOMPEL002","GOMA BORRAR PELIKAN MX BR 40 MIXTA","0.5","1"
"TAJPEL005","TAJADOR PELIKAN MX 1 ORIFICIO DEP PLASTICO MOD 404","1.2","1"
"BOLPTL086","BOLIGRAFO PENTEL BX420 B ROJO 1.0MM FEEL IT RETRAC","1.2","1"
"ESCATS001","ESCALIMETRO ARTESCO 16004001 ESC 1:20 25 50 75 100 125","1.2","1"
"BLPBRW011","BLOCK POST BRW BA0600","1.2","1"
"PREDEL017","PORTAREVIS DELLO 6023.B.0006. AZU","0.7","1"
"CAEEPA029","CALENDARIO E.PAULINAS 2024 ESCRITORIO ANILLADO","0.5","1.2"
"FOLVIN019","FOLDER VINIFAN TAPA TRANSPARENTE OFICIO TURQUESA C/FASTERNER","1.2","1"
"PBOBRE021","PAP BOND BOREAL BLAN A4 75GR PQ500HJS","0.5","1"
"CLPISO004","CLIP COLOR ISOFIT 50MM CJ80U","1.5","1"
"CUAABC039","CUADERNO ABC ESP OFICIO CUAD 5MM 100HJS TAPA DURA","1.5","1"
"RESPEL054","RESALTADOR PELIKAN CO 041 900 550 ROSA BEBE FLASH PASTEL GRUESO","1.5","1.2"
"PIZTLB001","PIZARRA ACRILICA TALBOT T-38620 030X040M  MAGNETICA","1.2","1"
"AGEV&R102","AGENDA V&R 2024 PRINCIPITO ","1.2","1"
"CUDABC023","CUADERNILLO ABC OFICIO 5MM MARGEN","0.7","1"
"MCPPTL039","MICROPUNTA PENTEL BLN105 BX ROJ 0.5MM ENERGELX RETRAC","0.7","1"
"PINCOD005","PINCEL CONDOR 456 NO 12 PELO CERDA","1.2","1"
"RAGTLC010","RPTO AGENDA TILUCHI 2024 DIRECTOR ANILL","0.7","0.5"
"LIGALL003","LIGAS ALLIANCE NO32 DE 1/4 LIBRA","0.5","1"
"BLDPEL011","BLOCK DIBUJ PELIKAN AL A4 20HJ 150GSM 21X29.7CM 236812","1.5","1"
"BLPIDL005","BLOCK POST IDEAL K04 3X3PULG JGO5COL PRECORTADO","0.7","0.5"
"GRAKWT004","GRAPAS KW TRIO 23/6 CJ1000U","1","1.2"
"ETQDYM001","ETIQUETAS DYMO 30252 BLA 1 1/2X 3 1/2PULG CJ2ROLLOS","1.2","1"
"LCLLYR050","LAPIC COLOR LYRA 3713361 4COLOR 3710500 SUPER FERBY","0.7","1"
"PSBXXX102","PAP SABANA OFICIO","1.2","1"
"LCLLYR060","LAPIC COLOR LYRA 2011240 REMBRANDT AQUARELL JGO24U CAJA MET","1","1.2"
"MRDUNI002","MARCADOR UNI PIN BR-GO BRUSHSIGN GRIS OSCURO","1.2","1"
"MRDPIL003","MARCADOR PILOT SC F AZU SUPER COLOR MARKER FINE","1.5","1"
"LAPSCA004","LAPIZ SCALA 743 VER CARPINTERO","0.5","1.2"
"MINPTL011","MINA PENTEL C277S 2B NEG 0.7MM STEIN","1.2","1"
"AGETLC053","AGENDA TILUCHI 2024 GERENCIAL","0.7","1.5"
"PBORPO003","PAP BOND REPROGRAF BLAN 75GR  A4 PQ500HJS","1.2","1"
"FOLXXX005","FOLDER CREMA OFICIO CARTULINA 240GR","1","1.5"
"CNDPGF001","CINTA DIUREX PEGAFAN 705 CRIST 1/2PULG X 36YDS","1.2","1.5"
"CNDPGF006","CINTA DIUREX PEGAFAN 705 CRIST 1PULG X 72YDS","0.5","1"
"FORRIC003","FORRO RICOR 1/2 OFICIO PLAST ROJ PLAST","1.5","1"
"TIJMAP002","TIJERA MAPED 137910 KOOPY 13CM","1","1.2"
"BLDPEL008","BLOCK DIBUJ PELIKAN AL C3 A3 20HJ 120GSM 30X42CM 236799","0.7","1"
"CUAABC125","CUADERNO ABC RAYADO CASITA 30HJS COL ALEMAN","1.2","1"
"FOLUSG014","FOLDER USIGN US 303 AG OFICIO TAPA PLAST FASTENER","0.5","1.2"
"LCLATS002","LAPIC COLOR ARTESCO JUMBO","1.5","1.2"
"PLAPEL029","PLASTILINA PELIKAN MX JGO10U GLITTER 180G 06700008","1.2","1"
"PBOXXX159","PAP BOND XXX LILA 75GR CARTA PQ500 HJS","0.5","1"
"FGAART012","FIGURAS ADH ARTI TACF00012 MARIPOSAS Y CORAZONES X 66 PZS GOMA EVA","0.5","1"
"MCPSTB101","MICROPUNTA STABILO 88 38 SANGUINEA POINT 88","0.5","1"
"FOLVIN012","FOLDER VINIFAN DOBLE TAPA OFICIO CELESTE GUS","1.5","1"
"MRDPTL019","MARCADOR PENTEL N450 C AZU PERM RECARG PTA REDONDA","0.7","0.5"
"BLBTLB003","BLOCK BOND TALBOT BLA RAY CARTA 50HJS","1.5","1"
"CORPEL005","CORRECTOR PELIKAN MX PLUMAF TIPO LAPIZ SUPER PIRAT","1.2","1"
"TPLPEL002","TINT PLUMAF PELIKAN MX 4001 AZU CARTUCHO","1.5","1"
"PINPTL039","PINCEL PENTEL ZBS6-18E N° 18 PELO CABRA PLANO","0.5","1"
"CAUXXX024","CARTULINA CARTA COLOR","0.5","1"
"CAUXXX052","CARTULINA OFICIO COLOR","0.7","1"
"ETQPGF051","ETIQUETAS PEGAFAN BLA A4 001 15X26MM HJA 126ETQ CJA 50HJ","1.5","1"
"CCTMAD007","CAJA CARTON 1343 CAF 38X308X26CM","0.5","1"
"GOEXXX025","GOMA EVA GLITTER OFICIO FUCSIA","1.5","1"
"PAAXXX013","PAP ARAÑA PLA 50X80CM","1.5","0.7"
"PCPHOB009","PAP CREPE HOBBY VER CLARO 48X200CM","1.5","1"
"PCPHOB010","PAP CREPE HOBBY AZU REAL 48X200CM","1.5","1"
"REGATS001","REGLA ARTESCO 30CM PLAST CRISTAL","0.5","1"
"TCRLAP001","TAPA CARPETA MOCHILERA SIN SEP","0.7","1"
"PBOBRI022","PAP BOND BRIO BLAN 75GR OFICIO PQ500HJS","1.2","1"
"PBOLEY102","PAP BOND LEYDEZ CEL 80GR CARTA PQ100HJS","0.5","1"
"SENATS004","SEÑALADOR ARTESCO AMA PRECORTADO 3.8CM PLAST","1","1.2"
"BLDCNS032","BLOCK DIBUJO VEGETAL CANSON 50HJS  70GR  A4 21 X 30CM  C200757243","0.5","1"
"CUDABC025","CUADERNILLO ABC OFICIO 5MM SIN MARGEN","1.5","1"
"MRAPEL009","MARC AGUA PELIKAN MX FLASH MARKER 442 AZUL","1.5","1"
"MRAPEL012","MARC AGUA PELIKAN MX FLASH MARKER 442 VER","0.5","1"
"PTLUSG004","PORTALAPIZ USIGN US 165 PLAST VASO","0.5","1"
"BOLPIL001","BOLIGRAFO PILOT BP S ROJ FINO","0.7","1"
"AGEXXX021","AGENDA 2024 CLASICA BASIC BCS 14X20 CONFETTI","1.5","1"
"CLBBRW004","CLIP BIN BRW BD2505 PASTEL FLAMENCO","1.2","1"
"LCLPEL025","LAPIC COLOR PELIKAN MX JGO12U PASTEL REDONDO LARGO 30330327","1","0.5"
"PDDATS001","PINT DEDO ARTESCO  JGO6U","0.7","1"
"ETGMAP003","ESTUCHE GEOMETRICO MAPED 897118P ZURDOS 30CM","0.7","1"
"FORRIC026","FORRO RICOR OFICIO PLAST BLANCO","0.5","1"
"PLUXXX010","PAP LUSTROSO NEG 50X70CM","0.7","1"
"PLUXXX013","PAP LUSTROSO VER 50X70CM","1.2","1"
"LAPSTB008","LAPIZ STABILO 4907 HB NEG SWANO FLUOR","1.5","1.2"
"BOLPEL063","BOLIGRAFO PELIKAN AL 806961 JAZZ CLASSIC K35 ROJO","0.7","1"
"MFOPEL002","MASA FOAMY 50G AZU 06740109","0.7","1"
"MFOPEL011","MASA FOAMY 50G ROS 06740101","0.5","1"
"PLAPEL025","PLASTILINA PELIKAN MX 180G AMA NEON 06700128","1.2","1.5"
"GOMSTB006","GOMA STABILO 1195/90 YIPPY-PLAS FCO/90U","0.7","1"
"FICABC005","FICHA CARTU ABC CREMA RAYADO 165X105MM PQT100PCS","1.2","1"
"MRAPTL021","MARC AGUA PENTEL MW46 A NEG PTA BICELADA RECARG","0.5","1"
"MRAPTL024","MARC AGUA PENTEL MW46 D VER PTA BICELADA RECARG","1.5","1"
"MRDPTL031","MARCADOR PENTEL N450 V VIO PERM RECARG PTA REDONDA","0.5","1"
"FOLMDN011","FOLDER MADISON 8516 OFICIO PLAST GUINDO","1.5","0.5"
"MCPPTL073","MICROPUNTA PENTEL BL417 CAX NAVY BLUE 0.7MM ENERGEL","0.7","1"
"MCPPTL078","MICROPUNTA PENTEL BL437R D VER  0.7MM ENERGEL RETRACT","0.7","1"
"PDULEY001","PORTADIUREX LEYDEZ 20022 MEDIANO","0.7","1"
"JUEART007","JUEGO ARTI TACJUEDI014 ZAPATILLA GOMA EVA","1.2","1"
"PSESWA004","PAP SEDA 6301 AZU DARK BLUE 50X75CM","1.2","1"
"LCLPTL005","LAPIC COLOR PENTEL CB8 36U JGO36U HEXAG LARGO","1.5","1"
"MCPPTL038","MICROPUNTA PENTEL BL107 VX VIO 0.7MM ENERGELX RETRAC","1.5","1"
"PORPTL045","PORTAMINA PENTEL AX105 C 0.5MM FIESTA AZU","1.5","1"
"LCLSTB014","LAPIC COLOR STABILO 1400 435 CARBOTHELLO AZUL ULTRAMAR","1.5","1"
"LCLSTB055","LAPIC COLOR STABILO 1400 530 CARBOTHELLO VERDE ESMERALDA","1.5","1"
"LCLSTB058","LAPIC COLOR STABILO 1400 365 CARBOTHELLO VIOLETA CLARO","0.7","1"
"CORACO001","CORRECTOR ACRICOLOR  LIQUIDO MAGIC 18ML","0.5","1"
"BOLKRA001","BASE BOLI KRAUSE CADENA ADHES","0.5","1"
"TABBRW001","TABLERO BRW BC0002 DE CORTE A3 DOBLE CARA","1.2","1"
"BLPBRW007","BLOCK POST BRW BA0700","0.5","1"
"KITDEL001","KIT DULZURA DELLO 2190.SS.0006 CON 5 PORTA OBJETOS","0.5","1.5"
"PTFTNP003","PLASTOFORM TECNOPOR ESFERA 6.0CM DIAMETRO","1.2","1"
"XMACOQ101","MATEMATICAS COQUITO 1 NIVEL PRIMARIO","1.5","1"
"XCLATN050","AGATHA Y LA OSCURIDAD","0.5","1"
"INSMDN001","INST MUSIC  MADISON FLAUTA ","1.5","1"
"PICMER001","PINCHE MERLETO","0.7","1"
"GRARAP014","GRAPAS RAPID COBRE 24860000 24/6 CJ5000U","1.2","1"
"LIGALL010","LIGAS ALLIANCE NO32 DE 1 LIBRA","0.7","1"
"CLPGNR002","CLIP METAL GEN  78MM CJ50U","1.2","1"
"LAPLYR097","LAPIZ LYRA 2055911 REMBRANDT CARBON HB","1.2","1"
"CLPISO002","CLIP COLOR ISOFIT 33MM CJ100U","1.2","1"
"PLAPEL015","PLASTILINA PELIKAN MX 180G ROSA","1.5","1"
"MCPSTB097","MICROPUNTA STABILO 88 30 BERMELLON PALIDO  POINT 88","1","0.7"
"BOLPEL078","BOLIGRAFO PELIKAN AL 821254 SNAP K10  ROSADO","1.2","1"
"FORRIC022","FORRO RICOR OFICIO PLAST AZUL ","0.5","1"
"MRDPTL024","MARCADOR PENTEL N460 D VER PERM RECARG PTA BISEL","0.5","1"
"CAUCNS027","CARTULINA CANSON COLORLINE ROSADO 50X65CM  C41009","1","0.5"
"ACCXXX001","ACCES COMP TAPA PARA CD","1.5","1"
"GOMPEL011","GOMA BORRAR PELIKAN MX TIPO LAPIZ CLICK ERASER COLORES 06380001","1.5","1"
"PLAPEL004","PLASTILINA PELIKAN MX 180G AMA","1.2","1"
"MRJPEL007","MARCADOR JGO PELIKAN MX COLORELLA 30111847 JUMBO PASTEL JGO6U","0.7","0.5"
"MCPPTL085","MICROPUNTA PENTEL BL437R V  VIO  0.7MM ENERGEL RETRACT","1.2","1"
"PDULEY002","PORTADIUREX LEYDEZ 20087L GRANDE","1.2","0.7"
"TPLPRK007","TINT PLUMAF PARKER 1950377 AZU LAVABLE 57ML QUINK","0.7","1"
"JUEART013","JUEGO ARTI TAC039-1 NATURALEZA","1.5","1"
"CLBGNR004","BINDER CLIP GEN DONALDL-2275","1.2","1"
"JUEART002","JUEGO ARTI TACJUEDI088 BLOQUES DE CONSTRUCCION X 40 PZS - MADERA","0.5","1"
"PEGUHU003","PEGAMENTO UHU LIQUIDO 125ML","1.2","1"
"PINPAG002","PINCEL PAGODA 251 NO01","1.2","1"
"FOLUSG008","FOLDER USIGN US A20 A4 PLAST CON 20 FUNDAS","0.7","1"
"LCLLYR056","LAPIC COLOR LYRA 2821240 JGO24U GROVE SLIM CARTON","0.7","1"
"MRDPTL022","MARCADOR PENTEL N460 B ROJ PERM RECARG PTA BISEL","0.7","1"
"PLAPEL012","PLASTILINA PELIKAN MX 180G VER","1.2","1"
"BLPHOA001"," BLOCK POST HOPAX 21012 CUBE 3X3PULG 76X76MM 400HJS","0.5","1"
"XLIGIS013","LOS INFAMES  3EDC","1.2","1"
"FOLDEL081","FOLDER DELLO PLAST 1/2 OFICIO 0252.C.0050 AZUL C. LIGA","0.5","1"
"FOLDEL087","FOLDER DELLO PLAST 1/2 OFICIO 0252.U.0050 ROJO C. LIGA","1.2","0.7"
"LAPLYR111","LAPIZ LYRA 2052001 REMBRANDT BLA SECO","0.5","1.5"
"MRJPTL038","MARCADOR PENTEL SES15C BRUSH SIGN JGO 6PCS PASTEL SXVXPXS3XV2XS2X","0.7","0.5"
"PBOLEY106","PAP BOND LEYDEZ TURQUESA 80GR CARTA PQ100HJS","1.5","1"
"TAMATS001","TAMPO ARTESCO NEG","0.7","1.2"
